"subject","model","LL","G2","df","p","fevals","gevals","niter","convcode"
"101","yoked",-180.287067631605,159.914640695135,31,2.67343779676328e-19,104,1119,78,0
"102","yoked",-165.460566831427,130.063504007338,31,4.2635323227798e-14,106,978,78,0
"103","yoked",-196.396758146164,197.736771674488,31,3.41601982255373e-26,132,1409,106,0
"104","yoked",-243.558964961071,292.016650019324,31,3.11240759246323e-44,89,1011,74,0
"105","yoked",-163.892719084641,140.245143355498,31,7.67217830650385e-16,165,1544,124,0
"106","yoked",-224.821175106652,252.844386403829,31,1.25763965290297e-36,118,1291,92,0
"107","yoked",-154.076092172789,109.501295606659,31,1.08114777912654e-10,100,1229,79,0
"108","yoked",-239.332526620526,306.306281660286,31,4.88427408533193e-47,138,1191,94,0
"109","yoked",-265.258112692942,361.394810672939,31,5.77010746634366e-58,149,1530,118,0
"110","yoked",-169.74570604777,136.846560357538,31,2.95889259067465e-15,104,1094,78,0
"111","yoked",-222.632028668867,249.559831966571,31,5.38486158546375e-36,138,1247,97,0
"112","yoked",-205.430588295839,220.9666105757,31,1.51743433951798e-30,115,1433,90,0
"113","yoked",-229.197929640667,283.32345694216,31,1.55572474542304e-42,133,1330,105,0
"114","yoked",-191.736910466328,179.9145110981,31,6.54656376854035e-23,104,1088,80,0
"101","unyoked",-156.88932232743,113.119150086787,30,1.41748862632105e-11,107,1344,91,0
"102","unyoked",-151.300781172562,101.743932689608,30,9.82887439864788e-10,116,1326,88,0
"103","unyoked",-177.451260703617,159.845776789393,30,1.17274917482188e-19,169,1744,128,0
"104","unyoked",-235.024605391545,274.947930880271,30,2.17143543299528e-41,85,1094,68,0
"105","unyoked",-159.796502345583,132.052709877382,30,9.16445920137902e-15,155,1604,120,0
"106","unyoked",-208.584516003298,220.371068197121,30,7.15714010845991e-31,115,1433,91,0
"107","unyoked",-145.065718921057,91.4805491031964,30,3.91010433575624e-08,136,1670,103,0
"108","unyoked",-238.356651849221,304.354532117677,30,3.66725754704971e-47,140,1471,102,0
"109","unyoked",-255.144358462151,341.167302211357,30,1.82021799313921e-54,144,1497,110,0
"110","unyoked",-147.876606188716,93.1083606394296,30,2.20229198641453e-08,130,1359,99,0
"111","unyoked",-200.863674937047,206.023124502932,30,3.67565017676545e-28,135,1475,106,0
"112","unyoked",-179.43760996342,168.980653910863,30,2.62241615677619e-21,124,1357,90,0
"113","unyoked",-224.106858810575,273.141315281976,30,4.88973999614478e-41,136,1525,104,0
"114","unyoked",-177.900872545297,152.24243525604,30,2.68162646178092e-18,116,1617,91,0
