"subject","LL","null_LL","calc_G2","fevals","gevals","niter","convcode"
"101",-20.9008323263246,-20.6844221369458,0.432820378757619,439,148,NA,0
"102",-21.8629739926168,-21.8619879634219,0.00197205838976799,39,340,29,0
"103",-19.3827679213777,-19.3636692805282,0.0381972816989631,34,286,26,0
"104",-19.7828148357603,-19.7165264173919,0.132576836736852,47,341,32,0
"105",-18.3572503148735,-17.6274007239371,1.4596991818728,30,247,22,0
"106",-20.1178604588465,-20.0262051452192,0.18331062725467,36,309,30,0
"107",-20.9508421089231,-20.4272468583983,1.04719050104959,48,381,34,0
"108",-13.6533070766515,-13.6488206942465,0.00897276480992915,8182,3001,NA,1
"109",-16.7433318173751,-16.6258753582974,0.234912918155359,65,559,50,0
"110",-20.4938206371048,-20.4859220718869,0.0157971304357645,40,381,33,0
"111",-20.3533219007634,-19.8506314389676,1.00538092359168,43,379,35,0
"112",-20.0154600267127,-19.9757402980506,0.0794394573241775,34,291,26,0
"113",-16.0994449823314,-15.0233696983133,2.15215056803622,75,911,65,0
"114",-21.4381047831313,-21.3415077927813,0.19319398070008,46,341,32,0
