"subject","LL","null_LL","G2","df","p","fevals","gevals","niter","convcode"
"101",-157.936574667587,-100.329747284037,115.2136547671,28,0.00000000000152036273865444,106,1247,82,0
"102",-145.30150901032,-100.428814827758,89.7453883651253,28,0.000000021726363696305,93,1036,66,0
"103",-155.721825327583,-97.5283723089203,116.386906037326,28,0.000000000000961997476625728,157,1861,107,0
"104",-245.265590320777,-97.5506399514093,295.429900738736,28,1.97766322177441e-46,107,1484,86,0
"105",-143.406464123456,-93.7701474068921,99.2726334331273,28,0.000000000664218746617716,188,1895,112,1
"106",-212.972462118159,-98.3989819047372,229.146960426843,28,1.84906184048942e-33,115,1482,85,0
"107",-143.609111857695,-99.3254443694589,88.5673349764719,28,0.0000000331417789170676,101,1404,79,0
"108",-149.260266686209,-86.1793857903829,126.161761791653,28,0.0000000000000202673288320083,141,1798,106,0
"109",-229.01642284017,-84.560707356472,288.911430967395,28,3.85997985334082e-45,152,1981,111,0
"110",-165.556140324442,-101.322425869001,128.467428910882,28,8.06213329812392e-15,154,2014,121,0
"111",-170.395013927012,-97.8521126855814,145.085802482862,28,9.39092088087346e-18,132,1619,95,0
"112",-169.89191093737,-94.9472830079883,149.889255858763,28,1.29011896016389e-18,110,1287,82,0
"113",-128.263767905149,-87.5362011695871,81.4551334711238,28,0.000000404441332916566,200,1784,123,1
"114",-147.782404772303,-101.779654917278,92.0054997100511,28,0.00000000960789422890504,109,1426,81,0
