"subject","LL","null_LL","G2","df","p","fevals","gevals","niter","convcode"
"101",-146.967034713905,-79.6453251470909,134.643419133628,25,5.36945217310239e-17,102,761,80,0
"102",-131.457537865561,-78.5668268643353,105.781422002452,25,6.54981094262996e-12,79,643,64,0
"103",-142.337411107904,-78.1647030283921,128.345416159025,25,7.28614588530684e-16,101,603,69,0
"104",-253.798731678486,-77.8341135340174,351.929236288937,25,1.97185848145449e-59,167,448,53,1
"105",-102.705467480087,-76.142746682955,53.1254415942649,25,0.000861567513423735,76,542,60,0
"106",-212.503871307949,-78.3727767595183,268.262189096861,25,1.30789707437082e-42,86,679,70,0
"107",-157.457590010821,-78.8981975110603,157.118784999522,25,4.05797975378941e-21,122,806,84,0
"108",-297.732025132997,-72.5305650961363,450.40292007372,25,1.37166826277943e-79,82,510,58,0
"109",-244.208627943395,-67.9348319981746,352.54759189044,25,1.47678275135912e-59,102,719,79,0
"110",-141.454160206759,-80.8365037971143,121.235312819289,25,1.34012287648868e-14,70,537,56,0
"111",-154.126567167306,-78.0014812466138,152.250171841385,25,3.24051967318316e-20,112,713,79,0
"112",-165.498404634992,-74.9715427099377,181.053723850109,25,1.2871417734962e-25,63,484,49,0
"113",-293.675715112353,-72.5128314712738,442.325767282158,25,6.32740020915383e-78,110,755,83,0
"114",-124.298434079584,-80.4381471244958,87.7205739101755,25,6.71398048960108e-09,94,695,69,0
