Word,Length,Freq_KF,Freq_HAL,SUBTLWF,POS
abdominal,9,4,850,3.41,JJ
aberrant,8,5,166,0.29,JJ
able,4,216,176528,159.9,JJ
about,5,1815,1307019,3631.49,minor|RB|JJ
above,5,296,177919,48.88,minor|JJ|NN
abyss,5,4,4219,1.76,NN
accelerate,10,5,2368,1.27,VB
accessible,10,5,10758,1.1,JJ
acclaim,7,4,889,0.43,NN|VB
account,7,117,60958,44.71,NN|VB
acetone,7,4,423,0.16,NN
ache,4,4,846,2.49,VB|NN
across,6,282,62336,94.14,minor
action,6,291,77756,61.08,NN
active,6,88,35565,11.45,JJ
actual,6,100,40919,17.33,JJ|NN
adapt,5,5,3389,2.63,VB
addition,8,142,46938,7.75,NN
additional,10,120,56018,5.88,JJ
adept,5,4,1754,0.65,JJ|NN
adhere,6,4,1932,0.57,VB
advent,6,5,1976,0.47,NN
adversary,9,5,735,1.51,NN
affinity,8,5,1254,0.57,NN
after,5,1070,414103,682.59,minor
afternoon,9,106,10525,91.49,NN
again,5,578,249680,792.71,RB
against,7,626,172615,201.73,minor
agenda,6,5,9832,7.31,NN
aging,5,4,2956,2.57,VB|NN
ahead,5,109,25862,198.33,RB|minor
aides,5,4,671,0.63,NN
ailment,7,4,287,0.51,NN
airfield,8,5,498,2.31,NN
alignment,9,4,4132,1.31,NN
alleviate,9,5,1410,0.45,VB
almost,6,432,111601,193.27,RB
alone,5,195,51000,308.53,RB|JJ
along,5,355,92602,182.94,minor
aloof,5,5,368,0.65,JJ
already,7,273,146289,318.55,RB
also,4,1069,782967,206.43,RB
altar,5,5,3404,5.08,NN
although,8,319,109965,42.02,minor|NN
altitude,8,4,3730,3.88,NN
among,5,370,60232,33.9,minor
amount,6,172,61858,24.75,NN|VB
amply,5,4,395,0.35,RB
analysis,8,108,47575,11.04,NN
ancestral,9,5,4085,0.57,JJ
annals,6,4,621,0.65,NN
annual,6,93,23577,7.2,JJ|NN
another,7,683,286263,509.22,minor|NN
answer,6,152,109246,176.2,NN|VB
anthology,9,4,2098,0.27,NN
antipathy,9,4,166,0.08,NN
anyone,6,140,398422,255.25,NN
anything,8,280,214704,907.25,NN
apartment,9,81,8965,83.04,NN
appear,6,118,46487,23.37,VB
applaud,7,5,1303,2.14,VB
appliance,9,5,816,0.8,NN
appraise,8,4,144,0.2,VB
approach,8,123,34189,20.98,NN|VB
arbiter,7,5,519,0.2,NN
Arctic,6,4,1724,1.96,NN|JJ
arduous,7,4,300,0.67,JJ
area,4,323,160430,74.92,NN
arisen,6,4,880,0.22,VB
armor,5,4,13211,7.29,NN
army,4,132,34024,85.69,NN
around,6,561,268131,736.73,minor|RB
arouse,6,5,475,1.22,VB
assent,6,4,478,0.08,NN|VB
asset,5,5,4255,3.78,NN
assistance,10,87,20429,10.94,NN
atmosphere,10,79,10109,9.67,NN
atrophy,7,4,434,0.41,VB
attack,6,105,46040,75.55,NN|VB
attempt,7,95,41637,19.12,NN|VB
attention,9,179,45081,98.67,NN
attitude,8,107,20636,26.08,NN
auction,7,4,70714,8.9,NN|VB
audible,7,4,1360,0.71,JJ
audience,8,115,20905,25.37,NN
audit,5,4,3286,1.12,NN|VB
authority,9,93,23585,21.22,NN
available,9,245,326758,25.94,JJ
average,7,130,61913,16.65,JJ|NN|VB
aviation,8,5,4453,1.43,NN
aware,5,84,37088,35.65,JJ|NN
away,4,456,150815,730.9,RB|minor
awesome,7,4,8401,31.37,JJ
awhile,6,4,7861,9.47,RB
axle,4,5,1741,1.24,NN
back,4,967,393090,2009.16,RB|JJ|NN|VB
backbone,8,4,4126,1.65,NN
backlog,7,5,608,0.33,NN
badge,5,5,2039,15.25,NN
baggage,7,4,1875,6.24,NN
balance,7,90,22511,14.98,NN|VB
balcony,7,5,1083,7.31,NN
bald,4,5,2764,9.73,JJ
bale,4,5,557,2.04,NN
ball,4,110,38502,104.96,NN
banana,6,4,2879,10.73,NN
bandage,7,4,331,2.86,NN
banish,6,4,315,1.35,VB
banister,8,5,119,1.31,NN
bank,4,83,39506,84.98,NN|VB
bankrupt,8,5,2265,2.8,JJ|NN|VB
bar,3,82,31561,85.98,NN|VB
baritone,8,5,637,0.41,NN
base,4,91,59143,35.37,NN|VB
basic,5,171,73227,15.57,JJ|NN
basis,5,184,48314,11.94,NN
batch,5,5,10263,4.16,NN
bathtub,7,4,988,6.1,NN
battle,6,87,28733,42.25,NN|VB
beacon,6,5,1778,3.86,NN
beadle,6,4,28,0.02,NN
bean,4,5,3575,6.84,NN
beautiful,9,127,31342,279.73,JJ
because,7,883,503563,1071.02,minor
become,6,361,93420,115.57,VB
bedtime,7,4,1245,6.2,NN
been,4,2472,735347,1736.73,VB
beep,4,4,2303,6.51,NN|VB
before,6,1016,344936,794.14,minor|RB|NN
began,5,312,40481,32.51,VB
begin,5,84,60828,56.98,VB|NN
behavior,8,96,29913,22.39,NN
behind,6,258,64875,187.86,minor|NN
being,5,712,362268,485.9,VB|NN
believe,7,200,208406,625.14,VB
bellow,6,4,290,0.45,VB|NN
below,5,145,90658,28.04,minor|NN
benefactor,10,4,210,1.69,NN
beside,6,78,6896,15.18,minor
betray,6,4,771,9.14,VB
better,6,414,284711,794,JJ|RB|NN|VB
between,7,730,230878,175.14,minor|NN
beverage,8,5,1425,2.33,NN
beyond,6,175,43775,43.14,minor|NN
bicycle,7,5,5038,6.61,NN
bill,4,143,116919,118.45,NN|VB
bind,4,4,6800,3.35,NN|VB
black,5,203,160756,167.94,JJ|NN|VB
blood,5,121,51801,186.12,NN
blower,6,4,536,0.33,NN
blue,4,143,89005,102.39,JJ|NN
board,5,239,79617,64.16,NN|VB
body,4,276,116235,195.53,NN
book,4,193,190905,176.98,NN|VB
booze,5,4,962,10.94,NN|VB
boring,6,5,12707,27.41,JJ|NN|VB
born,4,113,35181,83.69,VB|JJ
borough,7,5,446,1.18,NN
both,4,730,296623,295.33,minor
bottom,6,88,43483,49.92,NN|VB|JJ
boyhood,7,5,451,0.61,NN
break,5,88,47766,221.08,VB|NN
breathless,10,5,546,1.08,JJ
bridge,6,98,19356,45.71,NN|VB
bright,6,87,13726,44.41,JJ|NN
bring,5,158,56510,327.16,VB
broad,5,84,12608,14.73,JJ|NN
brown,5,176,42129,60.12,JJ|NN|VB
buckle,6,5,1228,5.04,VB|NN
building,8,160,48370,99.57,NN|VB
built,5,103,39879,41.16,VB
bulge,5,5,1264,0.94,NN|VB
bully,5,4,1379,7.22,NN|VB
bump,4,5,2682,12.35,NN|VB
burglary,8,4,890,3.57,NN
burrow,6,4,258,0.55,NN|VB
business,8,392,156876,321,NN
butler,6,4,3657,9.96,NN
cabbage,7,4,1124,2.9,NN
cadet,5,4,1017,3.45,NN
calamity,8,4,299,2,NN
calculate,9,4,5720,2.08,VB
call,4,188,241962,861.39,VB|NN
came,4,622,115002,463.73,VB
campaign,8,81,24070,16.78,NN|VB
cannot,6,258,108318,126.76,VB
capacity,8,83,16207,8.1,NN
capital,7,85,24646,12.71,NN
captain,7,85,21156,208.27,NN|VB
captive,7,5,2136,2.27,JJ|NN
cardboard,9,5,3370,2.71,NN
care,4,162,104469,485.25,NN|VB
carpentry,9,4,200,0.45,NN
carry,5,88,36637,65.9,VB|NN
cart,4,5,5925,9.04,NN|VB
case,4,362,199506,282.41,NN|VB
cater,5,4,1387,1.25,VB
cattle,6,97,3830,13.22,NN
cause,5,130,79705,310.04,NN|VB
celebrate,9,4,3175,24.86,VB
celery,6,4,732,1.86,NN
cent,4,158,6305,9.47,NN
center,6,224,87347,45.78,NN|VB
central,7,164,42496,24.75,JJ|NN
century,7,207,31984,20.84,NN
certain,7,313,81374,85.37,JJ|RB|NN
chance,6,131,58965,241.24,NN|VB
change,6,240,157119,240.35,NN|VB
chap,4,5,1620,6.35,NN|VB
chaplain,8,5,313,2.27,NN
character,9,118,63731,38.16,NN
charge,6,122,45281,89.39,NN|VB
chauffeur,9,4,236,5.63,NN|VB
check,5,88,170581,278.98,VB|NN
cherish,7,5,661,4.45,VB
chestnut,8,5,1052,1.27,NN
chief,5,119,19007,77.9,JJ|NN
child,5,213,64729,157.65,NN
chisel,6,4,2697,0.88,NN
choice,6,113,65532,97.55,NN
chrome,6,4,2811,1.27,NN
chromium,8,4,4451,0.65,NN|JJ
chronicle,9,5,2130,1.57,NN
chronology,10,5,1501,0.2,NN
chuckle,7,5,1569,1.59,NN|VB
church,6,348,49074,69.67,NN
city,4,393,102007,169.1,NN
civil,5,91,27980,15.94,JJ|NN
claim,5,98,56597,25.39,NN|VB
claret,6,4,62,0.29,NN
clarification,13,5,2736,0.59,NN
clash,5,5,4179,1.33,NN|VB
class,5,207,94260,117.35,NN|VB
clay,4,100,10797,12,NN
clear,5,219,77302,171.82,JJ|VB|RB
clearance,9,4,4849,6.86,NN
cleverly,8,4,919,0.88,RB
climactic,9,4,202,0.22,JJ
close,5,234,84927,219.43,VB
club,4,145,63264,98.78,NN|VB
clump,5,4,454,0.53,NN
coffee,6,78,18382,144.53,NN
coherent,8,5,3753,1.04,JJ
cold,4,171,34854,130.16,JJ|NN
collection,10,84,40166,18.16,NN
college,7,267,77818,85.18,NN|VB
color,5,141,74865,39.43,NN|VB
columnist,9,5,1633,1,NN
come,4,630,232041,3140.98,VB|NN
comedian,8,5,1124,4.1,NN
commission,10,103,20087,13.78,NN|VB
committee,9,168,33738,22.02,NN
common,6,223,97044,44.61,JJ|NN
commune,7,4,523,1.31,NN
communist,9,97,9453,7.57,NN|JJ
community,9,231,58793,29.14,NN
company,7,290,156262,147.2,NN
compassion,10,5,3911,6.25,NN
compel,6,4,1072,1.02,VB
complete,8,181,103017,51.69,JJ|VB
complex,7,91,29781,13.12,JJ
comply,6,5,3028,2.31,VB
comprehend,10,5,2470,1.84,VB
comrade,7,4,813,8.55,NN
concave,7,4,431,0.18,JJ|NN
concept,7,85,30857,10.84,NN
conceptual,10,4,2150,0.24,JJ
concern,7,98,19989,26.12,NN|VB
concur,6,4,1268,1.2,VB
condemn,7,4,2865,2.37,VB
condition,9,91,70143,37.96,NN|VB
conference,10,96,51735,25.41,NN
confuse,7,5,5129,4.76,VB
congress,8,152,42314,8.22,NN
conquer,7,4,3143,4.98,VB
consider,8,127,78623,52.47,VB
constable,9,5,722,2.82,NN
constituent,11,5,963,0.12,NN
continue,8,107,55897,49.55,VB
control,7,223,152951,130.63,NN|VB
convent,7,4,282,3.33,NN
converse,8,5,1252,1.29,VB
convince,8,4,12075,18.73,VB
coolant,7,4,1023,0.69,NN
coolly,6,5,104,0.12,RB
coordinator,11,5,7492,1.59,NN
corner,6,115,23080,52.53,NN|VB
coroner,7,5,269,8.98,NN
corporal,8,4,778,15.73,NN
corral,6,5,341,2.33,NN|JJ
corrosion,9,4,1390,0.2,NN
cost,4,229,99509,54.92,NN|VB
could,5,1599,544756,1629.59,VB
council,7,103,21497,16.92,NN
counselor,9,4,1876,9.92,NN
counteract,10,4,568,0.47,VB
country,7,324,106711,161.84,NN
county,6,155,24058,33.76,NN
couple,6,122,93448,223.41,NN|JJ|VB
course,6,465,195947,487.22,NN|VB
court,5,230,57767,100.73,NN|VB
courtier,8,5,30,0.06,NN
cover,5,88,64134,94.27,VB|NN
crazily,7,4,100,0.1,RB
creamer,7,4,102,0.71,NN
crib,4,5,1280,6.2,NN|VB
crisis,6,82,13610,16.65,NN
criticize,9,4,3505,2.16,VB
cruiser,7,4,2036,3.18,NN
crumpled,8,4,339,0.53,JJ
current,7,104,152300,17.04,JJ|NN
cursory,7,4,624,0.29,JJ
cute,4,5,11008,87.75,JJ|NN
cynicism,8,4,934,0.9,NN
dale,4,5,9905,9.08,NN
dance,5,90,26125,148.04,NN|VB
dark,4,185,71249,88.61,JJ|NN|RB
data,4,173,203945,25.61,NN
date,4,103,136274,141.53,NN|VB
deacon,6,5,485,2.86,NN
dead,4,174,72864,448.98,JJ|NN|RB
deal,4,142,83766,261.37,NN|VB
dearly,6,4,1204,4.88,RB
deceptive,9,4,1232,0.51,JJ
decision,8,119,36601,55.06,NN
decor,5,4,573,1.02,NN
deep,4,109,42695,76.39,JJ|NN
defense,7,167,31710,32.65,NN
degree,6,125,42088,14.88,NN
delicious,9,4,2481,21.53,JJ
deluge,6,4,718,0.39,NN
demand,6,102,25807,17.12,NN|VB
demise,6,4,2332,1.71,NN
democratic,10,109,14820,3.55,JJ
denote,6,4,979,0.08,VB
denounce,8,5,889,0.86,VB
department,10,225,71480,63.84,NN
derision,8,4,383,0.16,NN
derivation,10,4,880,0.25,NN
descend,7,4,1053,1.92,VB
design,6,114,110689,16.2,NN|VB
designate,9,5,1127,0.61,VB
desire,6,79,23188,20.27,NN|VB
desolation,10,5,342,0.61,NN
despite,7,104,26140,13,minor
despotism,9,5,267,0.06,NN
determine,9,107,25579,8.39,VB
develop,7,89,35652,9.61,VB
developer,9,5,19163,0.9,NN
development,11,334,130333,12.25,NN
devout,6,4,809,0.75,JJ
diagonal,8,4,1275,0.53,JJ|NN
diary,5,4,2683,8.98,NN
different,9,312,223502,209.53,JJ|NN
difficult,9,161,52555,60.16,JJ|NN
diffuse,7,4,734,0.98,JJ
dingy,5,5,220,0.61,JJ
dinner,6,91,13031,202.67,NN
diplomat,8,5,1166,2.14,NN
direct,6,129,54882,24.04,JJ|VB|NN|RB
direction,9,134,30901,24.08,NN
director,8,101,36607,35.96,NN
disapprove,10,4,725,1.14,VB
discern,7,4,1056,0.33,VB
disciple,8,4,1154,1.02,NN
disguise,8,5,2140,7.8,NN|VB
dismay,6,5,987,0.45,NN|VB
dismiss,7,5,3024,5.47,VB
dispense,8,4,675,1.35,VB
disrupt,7,5,1328,1.27,VB
dissent,7,5,941,0.59,NN
distance,8,108,29802,25.61,NN|VB
distort,7,4,1351,0.39,VB
distribution,12,85,41272,3.08,NN
district,8,135,19101,20.94,NN|JJ
divisible,9,4,519,0.08,JJ
division,8,107,35084,18.55,NN
dizzy,5,5,1907,8.43,JJ
docile,6,4,391,0.53,JJ
doctor,6,100,31917,263.94,NN|VB
done,4,320,173968,485.04,VB|NN
donor,5,5,1698,4.08,NN
door,4,312,53813,292.06,NN
doorman,7,4,161,3.18,NN
dormant,7,5,1022,1.16,JJ
dosage,6,4,2028,2,NN
doubt,5,114,48652,62.84,NN|VB
dove,4,4,2713,5.57,NN
down,4,895,293731,1490.27,RB|minor|JJ|NN
drab,4,5,342,0.8,JJ
drink,5,82,19872,247.39,VB|NN
drive,5,105,171708,153.14,NN|VB
drizzle,7,5,283,0.43,NN|VB
drought,7,5,1069,1.37,NN
drugstore,9,5,337,4.29,NN
duel,4,5,1681,2.35,NN
dump,4,4,10072,28.82,VB|NN
during,6,585,137335,75.92,minor|NN|VB
dynamite,8,5,1724,10.1,NN
dynasty,7,5,2344,2.55,NN
each,4,877,303525,253.25,minor
eagle,5,5,6845,11.49,NN
early,5,366,75759,108.04,JJ|RB|NN
earth,5,150,61680,99.49,NN|VB
easel,5,5,226,0.27,NN
easily,6,106,52243,22.57,RB
east,4,183,49098,49.55,NN|JJ|RB
economy,7,79,21828,5.8,NN
edge,4,78,37877,23.51,NN|VB
edible,6,5,982,1.37,JJ
education,9,214,58802,19.53,NN
effect,6,213,67019,23.9,NN|VB
effective,9,129,33590,10.51,JJ|NN
effort,6,145,37651,19.35,NN
eight,5,104,17470,98.24,minor|NN
either,6,284,192195,182.51,minor|RB
electrode,9,5,558,0.29,NN
else,4,176,176434,449.16,RB|JJ|NN
embark,6,5,469,1.25,VB
enemy,5,88,16802,48.51,NN
energy,6,100,58596,32.9,NN
engraved,8,4,657,1.67,VB
enhance,7,5,6695,2.45,VB
enigma,6,4,1995,0.92,NN
enlist,6,5,531,1.57,VB
enough,6,430,191008,501.33,RB|JJ|NN
enrich,6,5,749,0.27,VB
enroll,6,5,1329,0.67,VB
entail,6,5,840,0.57,VB
enter,5,78,36407,29.73,VB
entire,6,149,62545,79.8,JJ|NN
entropy,7,4,3190,0.22,NN
epitaph,7,4,369,0.51,NN
equal,5,90,40062,13.37,JJ|VB|NN
equipment,9,167,51532,25.45,NN
esoteric,8,4,1839,0.37,JJ
especially,10,160,94104,67.22,RB
espionage,9,5,1292,1.71,NN
essential,9,81,16147,4.84,JJ|NN
esteem,6,5,1253,1.69,NN
ethic,5,4,1517,1.04,JJ|NN
even,4,1171,490549,875.92,RB|JJ|NN|VB
evening,7,133,18925,120.69,NN
event,5,81,42825,26.37,NN
ever,4,345,173858,709.22,RB|NN
every,5,491,230149,549.16,minor|NN
everyone,8,94,119257,241.65,NN
everything,10,185,112573,654.88,NN
evidence,8,204,62334,85,NN
evolve,6,5,3336,1.63,VB
example,7,292,139009,29.94,NN
except,6,181,83885,111.69,minor|VB
excise,6,4,448,0.16,NN
exempt,6,5,2644,0.73,JJ|VB
exile,5,4,2654,1.86,NN|VB
expanse,7,5,844,0.22,NN
expect,6,108,60322,103.9,VB
experience,10,276,234638,60.55,NN|VB
explorer,8,4,5911,1.9,NN
expulsion,9,4,826,0.8,NN
extant,6,5,611,0.12,JJ
extent,6,110,14969,4.06,NN
face,4,371,77706,289.16,NN|VB
facilitate,10,5,4173,0.98,VB
fact,4,447,184510,172.57,NN
faction,7,5,1914,1.14,NN
fairway,7,5,413,0.47,NN
fairy,5,4,2344,16.69,JJ|NN
faith,5,111,29740,46.33,NN
falcon,6,4,8268,3.31,NN
fall,4,147,46059,118.51,NN|VB
family,6,331,88710,354.25,NN
famous,6,89,17485,45.02,JJ
farm,4,125,10864,30.04,NN|VB
fast,4,78,77003,137.45,RB|JJ
fasten,6,4,491,3.73,VB
father,6,183,38034,554.49,NN|VB
favor,5,78,19604,70.76,NN|VB
fear,4,127,34537,69.08,NN|VB
federal,7,246,56007,23,JJ|NN
feed,4,123,20084,42.39,NN|VB
